time,It,temperature,Tpanel,Epv
2015-01-01 00:00:00,0.0,6.601530000000025,6.601530000000025,0.0
2015-01-01 01:00:00,0.0,6.266140000000007,6.266140000000007,0.0
2015-01-01 02:00:00,104.17911602292602,6.957400000000007,10.603669060802417,274090884.5355363
2015-01-01 03:00:00,384.54136543727606,6.685200000000009,20.14414779030467,1086706661.0779
2015-01-01 04:00:00,607.2060361138847,6.21735000000001,27.469561263985973,1809764940.908798
2015-01-01 05:00:00,765.7925642546188,8.915560000000028,35.71829974891169,2392605743.443976
2015-01-01 06:00:00,852.9534822533348,7.9238300000000095,37.77720187886672,2709517396.4611363
2015-01-01 07:00:00,863.8262924596766,7.667899999999975,37.90182023608865,2749411641.598265
2015-01-01 08:00:00,797.7773007568557,8.621120000000019,36.543325526489966,2507720165.4686384
2015-01-01 09:00:00,658.5636133500605,8.566300000000012,31.61602646725213,2009709473.9000897
2015-01-01 10:00:00,453.18087112398354,7.283140000000003,23.144470489339426,1309686598.3267634
2015-01-01 11:00:00,187.777052236954,8.086999999999989,14.659196828293378,512225337.13261575
2015-01-01 12:00:00,0.0,8.841499999999996,8.841499999999996,0.0
2015-01-01 13:00:00,0.0,8.327269999999999,8.327269999999999,0.0
2015-01-01 14:00:00,0.0,8.473569999999995,8.473569999999995,0.0
2015-01-01 15:00:00,0.0,7.039280000000019,7.039280000000019,0.0
2015-01-01 16:00:00,0.0,7.33553999999998,7.33553999999998,0.0
2015-01-01 17:00:00,0.0,5.778380000000027,5.778380000000027,0.0
2015-01-01 18:00:00,0.0,6.384770000000003,6.384770000000003,0.0
2015-01-01 19:00:00,0.0,6.108979999999974,6.108979999999974,0.0
2015-01-01 20:00:00,0.0,6.086700000000008,6.086700000000008,0.0
2015-01-01 21:00:00,0.0,5.589940000000013,5.589940000000013,0.0
2015-01-01 22:00:00,0.0,5.687470000000019,5.687470000000019,0.0
2015-01-01 23:00:00,0.0,5.720579999999984,5.720579999999984,0.0
2015-01-02 00:00:00,0.0,6.018039999999985,6.018039999999985,0.0
2015-01-02 01:00:00,0.0,6.122830000000022,6.122830000000022,0.0
2015-01-02 02:00:00,102.68768987841716,6.579250000000002,10.173319145744603,268599323.4626298
2015-01-02 03:00:00,383.3097777080621,6.783360000000016,20.199202219782187,1083873726.810504
2015-01-02 04:00:00,606.5024990282626,7.1633299999999736,28.390917465989165,1817430259.283853
2015-01-02 05:00:00,765.6903789645438,8.832460000000026,35.63162326375906,2391840059.088822
2015-01-02 06:00:00,853.4806239649228,9.53275000000002,39.40457183877232,2715687484.7520256
2015-01-02 07:00:00,864.9686771460337,10.12103000000002,40.394933700111196,2758425054.8848686
2015-01-02 08:00:00,799.4839710331979,10.917700000000025,38.899638986161946,2519175197.1401577
2015-01-02 09:00:00,660.7598308851585,10.686460000000013,33.813054080980564,2029553573.3883748
2015-01-02 10:00:00,455.8057190130732,10.276999999999989,26.230200165457553,1343806117.7315867
2015-01-02 11:00:00,190.8989185646532,10.257720000000006,16.939182149762868,532959689.71208596
2015-01-02 12:00:00,0.0,10.802059999999983,10.802059999999983,0.0
2015-01-02 13:00:00,0.0,10.255299999999975,10.255299999999975,0.0
2015-01-02 14:00:00,0.0,8.748170000000016,8.748170000000016,0.0
2015-01-02 15:00:00,0.0,7.697420000000022,7.697420000000022,0.0
2015-01-02 16:00:00,0.0,7.821469999999977,7.821469999999977,0.0
2015-01-02 17:00:00,0.0,7.451140000000009,7.451140000000009,0.0
2015-01-02 18:00:00,0.0,7.244019999999978,7.244019999999978,0.0
2015-01-02 19:00:00,0.0,7.088649999999973,7.088649999999973,0.0
2015-01-02 20:00:00,0.0,7.248839999999973,7.248839999999973,0.0
2015-01-02 21:00:00,0.0,7.651059999999973,7.651059999999973,0.0
2015-01-02 22:00:00,0.0,7.27713,7.27713,0.0
2015-01-02 23:00:00,0.0,6.629819999999995,6.629819999999995,0.0
2015-01-03 00:00:00,0.0,6.929079999999999,6.929079999999999,0.0
2015-01-03 01:00:00,0.0,6.921879999999987,6.921879999999987,0.0
2015-01-03 02:00:00,101.32188590818966,7.255460000000028,10.801726006786666,267476580.2705729
2015-01-03 03:00:00,382.1850398139927,7.814239999999984,21.19071639348973,1090288296.500074
2015-01-03 04:00:00,605.899379594343,8.263430000000028,29.46990828580203,1825534899.471793
2015-01-03 05:00:00,765.6849261506192,9.166049999999984,35.965022415271655,2393337522.479901
2015-01-03 06:00:00,854.0997458146917,9.244320000000016,39.137811103514224,2717610380.3491254
2015-01-03 07:00:00,866.1963582792306,9.825400000000002,40.142272539773074,2763049444.774529
2015-01-03 08:00:00,801.2675110496308,10.286620000000028,38.330982886737104,2525165578.722384
2015-01-03 09:00:00,663.0236314613538,11.145899999999983,34.35172710114737,2039091141.1116784
2015-01-03 10:00:00,458.4897890502329,10.20956000000001,26.25670261675816,1351967913.402925
2015-01-03 11:00:00,194.0778596326098,10.336599999999976,17.129325087141318,542593494.7285124
2015-01-03 12:00:00,0.0,10.868899999999996,10.868899999999996,0.0
2015-01-03 13:00:00,0.0,10.12887999999998,10.12887999999998,0.0
2015-01-03 14:00:00,0.0,8.592199999999991,8.592199999999991,0.0
2015-01-03 15:00:00,0.0,5.4285600000000045,5.4285600000000045,0.0
2015-01-03 16:00:00,0.0,5.152159999999981,5.152159999999981,0.0
2015-01-03 17:00:00,0.0,5.155799999999999,5.155799999999999,0.0
2015-01-03 18:00:00,0.0,5.9626499999999965,5.9626499999999965,0.0
2015-01-03 19:00:00,0.0,6.562999999999988,6.562999999999988,0.0
