time,It,temperature,Tpanel,Epv
2015-01-01 00:00:00,0.0,3.066160000000025,3.066160000000025,0.0
2015-01-01 01:00:00,0.0,3.0631700000000137,3.0631700000000137,0.0
2015-01-01 02:00:00,133.9575506563012,3.738620000000026,8.427134272970568,52413001.9912432
2015-01-01 03:00:00,411.5560531180432,3.861879999999985,18.2663418591315,176318859.78164285
2015-01-01 04:00:00,630.1124442468755,3.8235799999999927,25.877515548640634,287890400.41795087
2015-01-01 05:00:00,784.2015367333901,7.350399999999979,34.79745378566864,379702888.22527605
2015-01-01 06:00:00,866.424298041501,7.188260000000014,37.513110431452546,427171795.0994519
2015-01-01 07:00:00,872.1297579342536,7.033329999999978,37.55787152769885,430407926.8846374
2015-01-01 08:00:00,800.9821805929481,7.567000000000007,35.60137632075319,389513068.2693043
2015-01-01 09:00:00,657.0447812010507,7.964839999999981,30.961407342036754,309839470.2786387
2015-01-01 10:00:00,447.52294307851525,7.753629999999987,23.41693300774802,200834933.30370533
2015-01-01 11:00:00,178.23102697400182,7.594499999999982,13.832585944090045,74717010.65630643
2015-01-01 12:00:00,0.0,8.213700000000017,8.213700000000017,0.0
2015-01-01 13:00:00,0.0,8.217319999999972,8.217319999999972,0.0
2015-01-01 14:00:00,0.0,6.5523000000000025,6.5523000000000025,0.0
2015-01-01 15:00:00,0.0,5.343779999999981,5.343779999999981,0.0
2015-01-01 16:00:00,0.0,5.230700000000013,5.230700000000013,0.0
2015-01-01 17:00:00,0.0,4.949520000000007,4.949520000000007,0.0
2015-01-01 18:00:00,0.0,5.082339999999988,5.082339999999988,0.0
2015-01-01 19:00:00,0.0,5.129000000000019,5.129000000000019,0.0
2015-01-01 20:00:00,0.0,5.038099999999986,5.038099999999986,0.0
2015-01-01 21:00:00,0.0,4.698849999999993,4.698849999999993,0.0
2015-01-01 22:00:00,0.0,4.924399999999992,4.924399999999992,0.0
2015-01-01 23:00:00,0.0,4.950699999999984,4.950699999999984,0.0
2015-01-02 00:00:00,0.0,5.200199999999995,5.200199999999995,0.0
2015-01-02 01:00:00,0.0,5.29473999999999,5.29473999999999,0.0
2015-01-02 02:00:00,132.63118049015011,5.672239999999988,10.314331317155242,53501744.08981364
2015-01-02 03:00:00,410.588354034659,5.752400000000023,20.12299239121309,179424605.78101313
2015-01-02 04:00:00,629.6731409057724,6.216060000000027,28.254619931702063,292429621.96080047
2015-01-02 05:00:00,784.3627221519764,8.110799999999983,35.563495275319156,380542408.9113237
2015-01-02 06:00:00,867.2135427947333,8.405179999999973,38.75765399781564,428393263.7657484
2015-01-02 07:00:00,873.5321316022017,9.544280000000017,40.117904606077076,432341671.52389556
2015-01-02 08:00:00,802.9461239839045,9.82310000000001,37.92621433943667,392082608.9825383
2015-01-02 09:00:00,659.4962447592469,9.427030000000002,32.509398566573644,312791021.3481742
2015-01-02 10:00:00,450.4054015400689,7.845799999999997,23.60998905390241,202403993.68285695
2015-01-02 11:00:00,181.6164751346585,8.222699999999975,14.579276629713021,76764124.35974051
2015-01-02 12:00:00,0.0,8.426699999999983,8.426699999999983,0.0
2015-01-02 13:00:00,0.0,8.800630000000012,8.800630000000012,0.0
2015-01-02 14:00:00,0.0,8.651670000000024,8.651670000000024,0.0
2015-01-02 15:00:00,0.0,7.992950000000007,7.992950000000007,0.0
2015-01-02 16:00:00,0.0,8.333979999999997,8.333979999999997,0.0
2015-01-02 17:00:00,0.0,8.068939999999998,8.068939999999998,0.0
2015-01-02 18:00:00,0.0,7.517899999999997,7.517899999999997,0.0
2015-01-02 19:00:00,0.0,6.91964999999999,6.91964999999999,0.0
2015-01-02 20:00:00,0.0,6.8251300000000015,6.8251300000000015,0.0
2015-01-02 21:00:00,0.0,7.029139999999984,7.029139999999984,0.0
2015-01-02 22:00:00,0.0,6.038400000000024,6.038400000000024,0.0
2015-01-02 23:00:00,0.0,6.3925800000000095,6.3925800000000095,0.0
2015-01-03 00:00:00,0.0,6.137699999999995,6.137699999999995,0.0
2015-01-03 01:00:00,0.0,6.113200000000006,6.113200000000006,0.0
2015-01-03 02:00:00,131.42527067658338,6.444029999999998,11.043914473680417,53593569.4664448
2015-01-03 03:00:00,409.7232280143465,7.208000000000027,21.548312980502153,181399181.30977458
2015-01-03 04:00:00,629.3310956455814,7.420399999999972,29.44698834759532,294168042.7161614
2015-01-03 05:00:00,784.6177558476203,8.461999999999989,35.9236214546667,380977872.285903
2015-01-03 06:00:00,868.0918658928395,8.068939999999998,38.45215530624938,428743212.98387045
2015-01-03 07:00:00,875.0167494660516,8.011500000000012,38.63708623131181,432769278.3404651
2015-01-03 08:00:00,804.9836538861865,8.312439999999981,36.48686788601651,392437853.2316626
2015-01-03 09:00:00,662.0117003848873,8.695339999999987,31.86574951347104,313398517.20083773
2015-01-03 10:00:00,453.34310552201447,7.417419999999993,23.2844286932705,203217320.28302726
2015-01-03 11:00:00,185.0563553005871,7.469449999999995,13.946422435520542,77597900.36732578
2015-01-03 12:00:00,0.0,7.331270000000018,7.331270000000018,0.0
2015-01-03 13:00:00,0.0,6.935200000000009,6.935200000000009,0.0
2015-01-03 14:00:00,0.0,6.242999999999995,6.242999999999995,0.0
2015-01-03 15:00:00,0.0,4.146059999999977,4.146059999999977,0.0
2015-01-03 16:00:00,0.0,3.270780000000002,3.270780000000002,0.0
2015-01-03 17:00:00,0.0,4.004849999999976,4.004849999999976,0.0
2015-01-03 18:00:00,0.0,4.092800000000011,4.092800000000011,0.0
2015-01-03 19:00:00,0.0,4.17953,4.17953,0.0
