time,It,temperature,Tpanel,Epv
2015-01-01 00:00:00,0.0,11.260130000000004,11.260130000000004,0.0
2015-01-01 01:00:00,0.0,11.482759999999985,11.482759999999985,0.0
2015-01-01 02:00:00,190.57339071811967,12.353599999999972,19.02366867513416,29297043.06866857
2015-01-01 03:00:00,456.8893449098893,13.785979999999997,29.777107071846125,73883290.77258648
2015-01-01 04:00:00,664.3189021143387,13.881129999999985,37.13229157400184,110764162.58854191
2015-01-01 05:00:00,805.5819294924507,15.908259999999984,44.10362753223576,136247731.63116804
2015-01-01 06:00:00,873.4336515385221,17.469060000000013,48.03923780384829,147713855.11101428
2015-01-01 07:00:00,863.9840628630731,17.58390000000003,47.82334220020759,145889080.73123676
2015-01-01 08:00:00,777.7847740574493,17.84122000000002,45.06368709201075,130102377.65187223
2015-01-01 09:00:00,619.7013497438122,17.750729999999976,39.4402772410334,102168179.97766261
2015-01-01 10:00:00,397.395150191466,15.825780000000009,29.734610256701316,64013731.86744956
2015-01-01 11:00:00,118.819792624272,15.568939999999998,19.72763274184952,18456070.38686102
2015-01-01 12:00:00,0.0,15.08945,15.08945,0.0
2015-01-01 13:00:00,0.0,15.113830000000007,15.113830000000007,0.0
2015-01-01 14:00:00,0.0,14.63900000000001,14.63900000000001,0.0
2015-01-01 15:00:00,0.0,13.242279999999994,13.242279999999994,0.0
2015-01-01 16:00:00,0.0,13.142899999999996,13.142899999999996,0.0
2015-01-01 17:00:00,0.0,12.337679999999978,12.337679999999978,0.0
2015-01-01 18:00:00,0.0,12.336729999999989,12.336729999999989,0.0
2015-01-01 19:00:00,0.0,12.347050000000024,12.347050000000024,0.0
2015-01-01 20:00:00,0.0,12.120670000000018,12.120670000000018,0.0
2015-01-01 21:00:00,0.0,12.25002999999998,12.25002999999998,0.0
2015-01-01 22:00:00,0.0,12.633899999999985,12.633899999999985,0.0
2015-01-01 23:00:00,0.0,12.239260000000002,12.239260000000002,0.0
2015-01-02 00:00:00,0.0,12.456729999999991,12.456729999999991,0.0
2015-01-02 01:00:00,0.0,12.006770000000015,12.006770000000015,0.0
2015-01-02 02:00:00,189.6133361410945,12.876680000000022,19.513146764938327,29255580.01676689
2015-01-02 03:00:00,456.3546104593225,12.947000000000005,28.91941136607629,73618367.90630436
2015-01-02 04:00:00,664.3216183795403,12.794680000000028,36.04593664328394,110761406.98463275
2015-01-02 05:00:00,806.1898865492595,14.64697000000001,42.86361602922409,136911206.45859218
2015-01-02 06:00:00,874.6698484860894,15.54595999999998,46.15940469701311,149356686.67145893
2015-01-02 07:00:00,865.8291042329196,16.007169999999974,46.31118864815216,147398089.07366315
2015-01-02 08:00:00,780.1844280089606,17.154539999999997,44.460994980313615,130939903.52313283
2015-01-02 09:00:00,622.5834794805363,17.222050000000024,39.012471781818796,102808991.50370267
2015-01-02 10:00:00,400.7133326237272,15.008359999999982,29.033326641830435,64470585.70731347
2015-01-02 11:00:00,122.46792288642516,15.077729999999974,19.364107301024855,18975845.417288788
2015-01-02 12:00:00,0.0,14.498400000000004,14.498400000000004,0.0
2015-01-02 13:00:00,0.0,14.651200000000015,14.651200000000015,0.0
2015-01-02 14:00:00,0.0,14.75243999999998,14.75243999999998,0.0
2015-01-02 15:00:00,0.0,12.911830000000007,12.911830000000007,0.0
2015-01-02 16:00:00,0.0,12.759979999999985,12.759979999999985,0.0
2015-01-02 17:00:00,0.0,11.947720000000004,11.947720000000004,0.0
2015-01-02 18:00:00,0.0,11.860079999999982,11.860079999999982,0.0
2015-01-02 19:00:00,0.0,12.078030000000012,12.078030000000012,0.0
2015-01-02 20:00:00,0.0,11.944430000000011,11.944430000000011,0.0
2015-01-02 21:00:00,0.0,12.010530000000015,12.010530000000015,0.0
2015-01-02 22:00:00,0.0,12.117860000000007,12.117860000000007,0.0
2015-01-02 23:00:00,0.0,12.452499999999986,12.452499999999986,0.0
2015-01-03 00:00:00,0.0,12.909519999999986,12.909519999999986,0.0
2015-01-03 01:00:00,0.0,13.193050000000028,13.193050000000028,0.0
2015-01-03 02:00:00,188.76447525267588,14.21062999999998,20.817386633843636,29374052.87900916
2015-01-03 03:00:00,455.918616503181,14.081270000000018,30.038421577611352,73766945.20426244
2015-01-03 04:00:00,664.4187240959191,14.330629999999983,37.58528534335715,110755345.66968608
2015-01-03 05:00:00,806.8885980724662,16.413540000000012,44.654640932536324,136223412.79353034
2015-01-03 06:00:00,875.9915538489125,17.078160000000025,47.73786438471197,148504611.45560572
2015-01-03 07:00:00,867.7523418533433,16.444000000000017,46.81533196486703,147457687.15292
2015-01-03 08:00:00,782.6532646326369,15.587679999999978,42.980544262142274,132154827.7773527
2015-01-03 09:00:00,625.5251022433267,15.004599999999982,36.897978578516415,103678730.34823374
2015-01-03 10:00:00,404.0829330729021,14.344670000000008,28.48757265755158,64934378.72110993
2015-01-03 11:00:00,126.18151486687496,14.414030000000023,18.830383020340648,19478050.44708703
2015-01-03 12:00:00,0.0,13.992680000000007,13.992680000000007,0.0
2015-01-03 13:00:00,0.0,13.898000000000025,13.898000000000025,0.0
2015-01-03 14:00:00,0.0,13.311649999999986,13.311649999999986,0.0
2015-01-03 15:00:00,0.0,11.92804000000001,11.92804000000001,0.0
2015-01-03 16:00:00,0.0,12.32504,12.32504,0.0
2015-01-03 17:00:00,0.0,12.280500000000018,12.280500000000018,0.0
2015-01-03 18:00:00,0.0,11.48135000000002,11.48135000000002,0.0
2015-01-03 19:00:00,0.0,11.855869999999982,11.855869999999982,0.0
2015-01-03 20:00:00,0.0,11.602300000000014,11.602300000000014,0.0
